A,B,DISTANCE,LINKID,TAZID,HOT_ZONEID,LANES,FT,SEGID,geometry
20986,20985,0.004853076215036384,20986_20985,2149,0,1,39,,"LINESTRING (423817 4481894, 423822 4481888)"
21003,20983,0.08860795869032181,21003_20983,2149,0,1,42,,"LINESTRING (423868.9371 4482018.252, 423760.6728 4481925.442)"
21009,21067,0.19501998162864362,21009_21067,2138,0,3,32,0154_001.4,"LINESTRING (422629 4483312, 422886.8486 4483490.936)"
21010,20868,0.764324838252037,21010_20868,2168,0,3,32,0154_001.4,"LINESTRING (422626 4483334, 421396 4483322)"
21017,21039,0.07589947066801343,21017_21039,2153,0,5,33,,"LINESTRING (423973.0646 4482037.456, 424046.9739 4482134.706)"
21038,20986,0.2465318492338616,21038_20986,2149,0,5,33,,"LINESTRING (424061.72133 4482206.28971, 423817 4481894)"
21038,21003,0.16733735048472248,21038_21003,2149,0,1,42,,"LINESTRING (424061.72133 4482206.28971, 423868.9371 4482018.252)"
21039,21137,0.39609473576719983,21039_21137,2149,0,5,34,0015_288.2,"LINESTRING (424046.9739 4482134.706, 424429 4482645)"
21048,21136,0.3736935844854013,21048_21136,2149,0,1,38,0015_288.2,"LINESTRING (424061 4482169, 424422 4482650)"
21052,20985,0.2414414912024136,21052_20985,2149,0,1,38,,"LINESTRING (424064 4482192, 423822 4481888)"
21067,21110,0.1969936366745146,21067_21110,2138,0,2,42,,"LINESTRING (422886.8486 4483490.936, 423151.4587 4483665.548)"
21067,21156,0.38750109457687487,21067_21156,2138,0,3,32,,"LINESTRING (422886.8486 4483490.936, 423336.8422 4483922.687)"
21070,21010,0.20276699833788708,21070_21010,2134,0,3,32,0154_001.4,"LINESTRING (422889.4547 4483526.554, 422626 4483334)"
21110,21156,0.19697369463353226,21110_21156,2139,0,2,41,,"LINESTRING (423151.4587 4483665.548, 423336.8422 4483922.687)"
21119,21070,0.19903407727303,21119_21070,2134,0,2,41,,"LINESTRING (423072.232 4483789.6, 422889.4547 4483526.554)"
21125,21070,0.2395593108832403,21125_21070,2138,0,3,32,,"LINESTRING (423169.6394 4483791.378, 422889.4547 4483526.554)"
21133,21038,0.3450607889863059,21133_21038,2149,0,5,34,0015_288.2,"LINESTRING (424398.0434 4482648.181, 424061.72133 4482206.28971)"
21135,21052,0.3605274015777102,21135_21052,2149,0,1,38,0015_288.2,"LINESTRING (424415 4482654, 424064 4482192)"
21136,21169,0.12549949064606308,21136_21169,2149,0,1,38,0015_288.2,"LINESTRING (424422 4482650, 424485.5677 4482841.707)"
21137,21171,0.12729565306298504,21137_21171,2150,0,5,34,0015_288.2,"LINESTRING (424429 4482645, 424498.2101 4482837.817)"
21156,21176,0.058800318363444015,21156_21176,2139,0,3,32,0154_000.8,"LINESTRING (423336.8422 4483922.687, 423401.9957 4483991.315)"
21164,21170,0.006778982709678474,21164_21170,2139,0,3,32,0154_000.8,"LINESTRING (423347.9719 4483965.635, 423355.9539 4483973.072)"
21167,21133,0.13778262023989937,21167_21133,2149,0,5,34,0015_288.2,"LINESTRING (424466.1179 4482859.212, 424398.0434 4482648.181)"
21168,21135,0.12779446189335827,21168_21135,2149,0,1,38,0015_288.2,"LINESTRING (424475.8428 4482850.459, 424415 4482654)"
21169,21274,0.5526551896398103,21169_21274,2141,0,1,38,0015_288.2,"LINESTRING (424485.5677 4482841.707, 424500 4483731)"
21170,21119,0.20994684276734263,21170_21119,2134,0,2,42,,"LINESTRING (423355.9539 4483973.072, 423072.232 4483789.6)"
21170,21125,0.16170716910176947,21170_21125,2139,0,3,32,,"LINESTRING (423355.9539 4483973.072, 423169.6394 4483791.378)"
21171,21276,0.5541513599024664,21171_21276,2141,0,5,34,0015_288.2,"LINESTRING (424498.2101 4482837.817, 424506.9625 4483729.592)"
21176,21186,0.05366514173302989,21176_21186,2139,0,3,32,0154_000.8,"LINESTRING (423401.9957 4483991.315, 423473.3142 4484040.025)"
21186,21215,0.11052821566754929,21186_21215,2139,0,3,32,0154_000.8,"LINESTRING (423473.3142 4484040.025, 423638.3992 4484106.262)"
21188,21164,0.09555299988270873,21188_21164,2139,0,3,32,0154_000.8,"LINESTRING (423474.3333 4484053.272, 423347.9719 4483965.635)"
21189,21239,0.20730488268557534,21189_21239,1981,0,1,42,,"LINESTRING (417294 4490260, 417355 4490588)"
21195,21464,0.9645888944908471,21195_21464,908,0,2,35,0080_101.5,"LINESTRING (398053.2757 4509537.123, 399344.91 4510398.213)"
21197,20924,1.1356341775698773,21197_20924,906,0,2,35,0080_101.5,"LINESTRING (398046.2559 4509569.882, 396424.9684 4508726.302)"
21215,21229,0.07000008172330353,21215_21229,2139,0,3,32,0154_000.8,"LINESTRING (423638.3992 4484106.262, 423750.494 4484117.472)"
21217,21188,0.11229365583069338,21217_21188,2139,0,3,32,0154_000.8,"LINESTRING (423642.4754 4484119.51, 423474.3333 4484053.272)"
