A,B,DISTANCE,LINKID,TAZID,HOT_ZONEID,LANES,FT,SEGID,geometry,index_right,OBJECTID,Name,EL_Zone,Shape_Leng,Shape_Area
24389,24412,0.13853267913967904,24389_24412,1056,305.0,2,31,,POINT (417260.49999999994 4513001),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24390,24393,0.04868789454736699,24390_24393,1216,375.0,2,42,,POINT (419885.13769999996 4510351.278),56.0,340.0,I215,375.0,25879.2644328,2505093.61422
24390,24408,0.037819458933859997,24390_24408,1216,375.0,1,42,,POINT (419913.0595 4510351.278),56.0,340.0,I215,375.0,25879.2644328,2505093.61422
24391,24388,0.03963656762105475,24391_24388,1175,355.0,1,42,,POINT (419789.5 4510412),30.0,97.0,I215,355.0,30437.1356652,3002933.17404
24391,24393,0.05480472798451001,24391_24393,1175,355.0,1,42,,POINT (419828.63769999996 4510412.278),30.0,97.0,I215,355.0,30437.1356652,3002933.17404
24393,24380,0.05191394766734672,24393_24380,1215,355.0,1,41,,POINT (419828.6376999999 4510354.278),30.0,97.0,I215,355.0,30437.1356652,3002933.17404
24393,24418,0.06250586299997513,24393_24418,1176,375.0,1,41,,POINT (419885.1377 4510425.278),56.0,340.0,I215,375.0,25879.2644328,2505093.61422
24396,24365,0.16284234113661195,24396_24365,1014,320.0,1,31,,POINT (416970 4513131),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24399,24451,0.2597404932528925,24399_24451,1331,420.0,3,33,0201_015.3,POINT (421917 4508549.5),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24403,24348,0.2523048781208175,24403_24348,1217,425.0,3,33,0201_015.3,POINT (421491 4508575),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24404,24495,0.4641858135248721,24404_24495,1056,305.0,3,34,,POINT (417609.5 4513047.5),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24408,24418,0.05446818620044232,24408_24418,1176,375.0,1,41,,POINT (419913.0595 4510425.278),56.0,340.0,I215,375.0,25879.2644328,2505093.61422
24409,24355,0.17849303652526172,24409_24355,1699,365.0,3,34,0215_006.3,POINT (431453 4498652),31.0,294.0,I215,365.0,36236.1233231,3474620.30826
24411,24450,0.16270239022726807,24411_24450,1694,360.0,3,34,0215_003.7,POINT (431622.5 4498871.5),32.0,299.0,I215,360.0,33912.1833648,3331432.2211
24412,24419,0.050895699801720526,24412_24419,1056,305.0,1,31,,POINT (417405 4512952.5),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24412,24495,0.38709327177447217,24412_24495,1056,305.0,2,31,,POINT (417674.5 4513008),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24413,24389,0.4163313261689072,24413_24389,1014,,2,31,,POINT (416956.00000000006 4513306.5),,,,,,
24415,24422,0.14954571340337522,24415_24422,1014,,1,31,,POINT (417005.5 4513372.5),,,,,,
24418,24466,0.26395691515186637,24418_24466,1176,375.0,2,41,,POINT (419897 4510681),56.0,340.0,I215,375.0,25879.2644328,2505093.61422
24419,24438,0.13161519461223,24419_24438,1056,305.0,2,31,,POINT (417546 4512911.5),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24420,24371,0.18541183559762076,24420_24371,1013,,1,31,,POINT (416673 4513543.5),,,,,,
24422,24447,0.2535474885742375,24422_24447,1014,,3,31,,POINT (416862 4513659),,,,,,
24427,24355,0.23954462995041584,24427_24355,1699,365.0,2,41,0215_006.3,POINT (431442.5 4498722),31.0,294.0,I215,365.0,36236.1233231,3474620.30826
24428,24477,0.24233935041925875,24428_24477,1695,360.0,1,41,0215_003.7,POINT (431679.00000000006 4498964.5),32.0,299.0,I215,360.0,33912.1833648,3331432.2211
24431,24413,0.13844206883948573,24431_24413,1013,,2,31,,POINT (416734.00000000006 4513685),,,,,,
24432,24415,0.1827744430271426,24432_24415,1014,320.0,2,31,,POINT (417214.5 4513218.5),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24438,24464,0.1932978629521336,24438_24464,1056,,2,31,0080_115.3,POINT (417800 4512850),,,,,,
24441,24472,0.15862539723989816,24441_24472,1461,150.0,1,38,,POINT (423650 4507031.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24442,24475,0.15865582009955317,24442_24475,1461,150.0,4,34,,POINT (423658.5 4507030.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24443,24396,0.17341198373664182,24443_24396,1014,320.0,1,31,,POINT (417236 4513180.5),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24443,24422,0.31864003629203064,24443_24422,1014,,2,31,,POINT (417152 4513337),,,,,,
24446,24330,0.5207136900289534,24446_24330,1216,355.0,4,34,,POINT (419848.5 4510342),30.0,97.0,I215,355.0,30437.1356652,3002933.17404
24446,24391,0.20002412095370267,24446_24391,1175,355.0,2,42,,POINT (419821.99999999994 4510602),30.0,97.0,I215,355.0,30437.1356652,3002933.17404
24449,24409,0.1689973924020369,24449_24409,1694,365.0,3,34,0215_003.7,POINT (431602.5 4498878.5),31.0,294.0,I215,365.0,36236.1233231,3474620.30826
24450,24477,0.10129137999233909,24450_24477,1694,360.0,3,34,0215_003.7,POINT (431663.99999999994 4499077.5),32.0,299.0,I215,360.0,33912.1833648,3331432.2211
24451,24478,0.09819458812067883,24451_24478,1439,420.0,3,33,,POINT (422205 4508552.5),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24451,24493,0.2532671369555349,24451_24493,1439,420.0,2,42,,POINT (422328 4508524),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24462,24403,0.2945627927882552,24462_24403,1217,425.0,3,33,0201_015.3,POINT (421931 4508581.5),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24464,24499,0.1734732020450397,24464_24499,1056,,2,31,0080_115.3,POINT (418090 4512838),,,,,,
24466,24587,0.6166275247725785,24466_24587,1177,375.0,4,34,0215_020.6,POINT (419909.99999999994 4511388.5),56.0,340.0,I215,375.0,25879.2644328,2505093.61422
24468,24353,0.5766318908594508,24468_24353,1461,250.0,5,34,0015_303.4,POINT (423643.5 4506696.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24469,24356,0.5804449576434931,24469_24356,1461,250.0,1,38,0015_303.4,POINT (423653 4506693.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24472,24507,0.22081125210275576,24472_24507,1441,150.0,1,38,,POINT (423635.99999999994 4507336.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24473,24373,0.4747547961702872,24473_24373,1014,320.0,3,34,,POINT (417345.00000000006 4513082),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24473,24396,0.39306921501578357,24473_24396,1014,320.0,1,31,,POINT (417413 4513116),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24475,24509,0.22211185546778328,24475_24509,1448,150.0,4,34,,POINT (423642.99999999994 4507336.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24475,24521,0.2877199138169963,24475_24521,1448,150.0,1,31,,POINT (423656.36135 4507389.4785),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24477,24526,0.30647852034895884,24477_24526,1695,360.0,3,34,0215_003.7,POINT (431657.5 4499405.5),32.0,299.0,I215,360.0,33912.1833648,3331432.2211
24478,24508,0.20360745280793094,24478_24508,1439,420.0,2,31,,POINT (422447.5 4508543.5),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24478,24532,0.40139572613439345,24478_24532,1440,420.0,2,31,,POINT (422605.5 4508523),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24483,24462,0.09546720252363464,24483_24462,1249,425.0,3,33,,POINT (422244.5 4508578),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24485,24427,0.24404211523550626,24485_24427,1694,365.0,2,42,0215_003.7,POINT (431588.50000000006 4499079.5),31.0,294.0,I215,365.0,36236.1233231,3474620.30826
24485,24449,0.1628577521024553,24485_24449,1694,365.0,3,34,0215_003.7,POINT (431643.5 4499138),31.0,294.0,I215,365.0,36236.1233231,3474620.30826
24491,24468,0.15055695999360458,24491_24468,1441,250.0,4,34,,POINT (423616 4507281),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24492,24469,0.14987968959631595,24492_24469,1441,250.0,1,38,,POINT (423625 4507280.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24493,24511,0.09889396489160907,24493_24511,1440,420.0,2,41,,POINT (422609.5 4508493.5),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24495,24512,0.09700581727608351,24495_24512,1056,305.0,3,34,0080_115.3,POINT (418061 4513054),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24497,24432,0.3862844967727099,24497_24432,1014,320.0,2,31,,POINT (417657.5 4513121),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24497,24473,0.14854057907828266,24497_24473,1056,320.0,3,34,,POINT (417846.5 4513080.5),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24499,24711,0.6733580770259266,24499_24711,1015,320.0,2,31,0080_115.3,POINT (418680.76985000004 4513156.6245),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24502,24468,0.25785845583737627,24502_24468,1441,250.0,2,31,,POINT (423581.5 4507363.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24507,24580,0.413214738658081,24507_24580,1448,150.0,1,38,,POINT (423626.99999999994 4507846.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24508,24536,0.18894738304235567,24508_24536,1440,420.0,2,31,,POINT (422763 4508536.5),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24509,24573,0.34676830017480564,24509_24573,1448,150.0,2,31,,POINT (423658 4507793),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24509,24581,0.41259196503636353,24509_24581,1448,150.0,4,34,,POINT (423633.49999999994 4507847),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24510,24462,0.2421002468777609,24510_24462,1249,425.0,2,41,,POINT (422362.5 4508596),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24511,24532,0.14789193285010988,24511_24532,1440,420.0,1,41,,POINT (422808 4508491),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24511,24536,0.1438259784426342,24511_24536,1440,420.0,1,41,,POINT (422802 4508515),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24512,24623,0.5094517559615257,24512_24623,1057,305.0,3,34,0080_115.3,POINT (418548.5 4513076),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24513,24497,0.10812064171616359,24513_24497,1056,320.0,3,34,0080_115.3,POINT (418053.00000000006 4513083.5),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24516,24443,0.4786978294213717,24516_24443,1014,320.0,3,31,0080_115.3,POINT (417755 4513157.5),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24518,24502,0.12616315075898787,24518_24502,1441,250.0,1,31,,POINT (423514.5 4507665),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24521,24548,0.12211113017126413,24521_24548,1448,150.0,1,31,,POINT (423722.3613500001 4507697.4785),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24522,24485,0.23998586369356087,24522_24485,1694,365.0,3,34,0215_003.7,POINT (431633.50000000006 4499462),31.0,294.0,I215,365.0,36236.1233231,3474620.30826
24524,24492,0.21924950124597953,24524_24492,1441,250.0,2,31,,POINT (423582.99999999994 4507573.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24525,24483,0.266830215987627,24525_24483,1439,425.0,3,31,,POINT (422535.49999999994 4508561.5),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24526,24601,0.34372641420555833,24526_24601,1695,360.0,3,34,0215_003.7,POINT (431668 4499928),32.0,299.0,I215,360.0,33912.1833648,3331432.2211
24528,24483,0.2691003123619783,24528_24483,1249,425.0,2,31,,POINT (422537.5 4508567),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24532,24625,0.3637541687343413,24532_24625,1440,420.0,2,31,,POINT (423218.5 4508518.5),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24534,24491,0.27986686001930927,24534_24491,1441,250.0,4,34,,POINT (423600.5 4507627),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24535,24492,0.27986686001930927,24535_24492,1441,250.0,1,38,,POINT (423610.5 4507626),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24536,24591,0.21553753443702284,24536_24591,1440,420.0,2,31,,POINT (423087.5 4508558),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24538,24491,0.38776695806414563,24538_24491,1441,250.0,2,31,,POINT (423535.5 4507705),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24540,24547,0.13770662903290795,24540_24547,1448,150.0,2,31,,POINT (423652.5 4507870.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24543,24510,0.21315349224705993,24543_24510,1250,425.0,1,42,,POINT (422728.5 4508609.5),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24547,24594,0.17591434204104425,24547_24594,1448,310.0,2,31,,POINT (423885 4507820.5),2.0,10.0,I80,310.0,20747.947014,2034888.99837
24548,24599,0.15868442978555575,24548_24599,1448,310.0,1,31,,POINT (423905.72955 4507812.5525),2.0,10.0,I80,310.0,20747.947014,2034888.99837
24552,24594,0.16108062031103537,24552_24594,1448,310.0,3,31,,POINT (423896.5 4507827.5),2.0,10.0,I80,310.0,20747.947014,2034888.99837
24554,24552,0.21719621597052988,24554_24552,1448,150.0,3,31,,POINT (423648 4507950),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24555,24524,0.1388875794643619,24555_24524,1448,150.0,2,31,,POINT (423627 4507823),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24556,24538,0.08961565052665041,24556_24538,1441,250.0,2,31,,POINT (423465 4508080),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24557,24564,0.13980886574620652,24557_24564,1448,150.0,2,31,,POINT (423646.5 4508019),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24561,24528,0.17418073865870234,24561_24528,1250,425.0,1,41,,POINT (422888.92315 4508600.9475),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24562,24518,0.2560967965131035,24562_24518,1441,250.0,1,31,,POINT (423493.50000000006 4507969),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24562,24540,0.15522880947352213,24562_24540,1441,250.0,2,31,,POINT (423530 4508054),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24564,24606,0.21281902840768294,24564_24606,1441,250.0,2,31,,POINT (423535 4508274.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24565,24581,0.11966709716309072,24565_24581,1449,150.0,3,31,,POINT (423663 4508087.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24567,24565,0.09681059025629087,24567_24565,1449,150.0,3,31,,POINT (423755.5 4507949.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24571,24586,0.08331493930632923,24571_24586,1449,150.0,1,31,,POINT (423729.5 4508046.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24572,24561,0.034284963842206306,24572_24561,1250,425.0,1,41,,POINT (423036.75445 4508663.277),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24573,24608,0.10598003408522325,24573_24608,1449,150.0,2,31,,POINT (423693.50000000006 4508155.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24573,24613,0.1625587561229667,24573_24613,1449,150.0,1,31,,POINT (423667.5 4508201),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24575,24589,0.07214616464870717,24575_24589,1449,150.0,1,31,,POINT (423748 4508045.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24576,24446,0.6858010132925335,24576_24446,1057,350.0,4,34,0215_020.6,POINT (419877.5 4511312),57.0,341.0,I215,350.0,24601.7045499,2376717.18395
24577,24555,0.10504140246953664,24577_24555,1448,150.0,2,31,,POINT (423792.5 4507902),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24577,24557,0.10246811354318142,24577_24557,1448,150.0,2,31,,POINT (423795.49999999994 4507916.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24578,24571,0.1022247859721675,24578_24571,1449,315.0,1,31,,POINT (423820.5 4507939),4.0,12.0,I80,315.0,20482.1483715,2008263.27242
24580,24622,0.1472863116996827,24580_24622,1441,150.0,1,38,0015_304.7,POINT (423628 4508297.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24581,24624,0.14729810776380242,24581_24624,1449,150.0,4,34,0015_304.7,POINT (423635.5 4508297.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24583,24575,0.08932651830717805,24583_24575,1449,315.0,1,31,,POINT (423830.5 4507955.5),4.0,12.0,I80,315.0,20482.1483715,2008263.27242
24586,24608,0.08079996195787403,24586_24608,1449,150.0,1,31,,POINT (423706.5 4508175),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24587,24631,0.2499162382752978,24587_24631,1059,375.0,4,34,0215_020.6,POINT (419879.49999999994 4512077),56.0,340.0,I215,375.0,25879.2644328,2505093.61422
24588,24567,0.08861916803662157,24588_24567,1449,315.0,3,31,,POINT (423887 4507885),4.0,12.0,I80,315.0,20482.1483715,2008263.27242
24589,24618,0.13282414550553814,24589_24618,1449,150.0,1,31,,POINT (423719 4508206.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24591,24604,0.0878863588813569,24591_24604,1441,420.0,2,31,,POINT (423324.5 4508547),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24594,24632,0.13844904096795385,24594_24632,1450,310.0,4,33,,POINT (424137 4507842.5),2.0,10.0,I80,310.0,20747.947014,2034888.99837
24595,24525,0.3188617048513043,24595_24525,1440,425.0,3,31,,POINT (423005.5 4508575.5),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24595,24543,0.2244609567806046,24595_24543,1440,425.0,1,31,,POINT (423080.5 4508605.5),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24596,24522,0.3399658523560812,24596_24522,1694,365.0,3,34,0215_003.7,POINT (431644.5 4499928),31.0,294.0,I215,365.0,36236.1233231,3474620.30826
24599,24632,0.13703923101327806,24599_24632,1450,310.0,1,31,,POINT (424137.72955 4507851.5525),2.0,10.0,I80,310.0,20747.947014,2034888.99837
24601,24682,0.3171619387673994,24601_24682,1695,360.0,3,34,0215_003.7,POINT (431715.5 4500457.5),32.0,299.0,I215,360.0,33912.1833648,3331432.2211
24602,24562,0.1504915509075025,24602_24562,1441,250.0,2,31,,POINT (423487 4508295.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24604,24602,0.08290146310988564,24604_24602,1441,250.0,2,31,,POINT (423432 4508467),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24606,24609,0.09604179517208328,24606_24609,1441,250.0,2,31,,POINT (423440.5 4508498.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24608,24618,0.04546648472026227,24608_24618,1449,150.0,2,31,,POINT (423707.5 4508276.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24609,24595,0.0842985501231189,24609_24595,1441,420.0,3,31,,POINT (423325.5 4508578),27.0,44.0,SR201,420.0,34633.5841238,3383156.00076
24612,24513,0.43235041787281314,24612_24513,1015,320.0,3,34,0080_115.3,POINT (418487.00000000006 4513109),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24613,24609,0.215469452222987,24613_24609,1441,250.0,1,31,,POINT (423521.49999999994 4508444),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24614,24576,0.2103968453320866,24614_24576,1057,350.0,4,34,0215_020.6,POINT (419860.49999999994 4512025.5),57.0,341.0,I215,350.0,24601.7045499,2376717.18395
24616,24578,0.15093730855437232,24616_24578,1449,315.0,1,31,,POINT (424011 4507884.5),4.0,12.0,I80,315.0,20482.1483715,2008263.27242
24616,24588,0.10944806537964966,24616_24588,1450,315.0,3,31,,POINT (424043.99999999994 4507870.5),4.0,12.0,I80,315.0,20482.1483715,2008263.27242
24618,24635,0.07163055975329835,24618_24635,1442,150.0,4,31,0015_304.7,POINT (423706 4508370.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24621,24556,0.21672016645957617,24621_24556,1441,250.0,2,31,0015_304.7,POINT (423510.00000000006 4508321.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24622,24706,0.3287155744946303,24622_24706,1252,150.0,1,38,,POINT (423628 4508680.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24623,24655,0.17766697155263675,24623_24655,1057,305.0,1,31,,POINT (419094.5 4513052.5),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24623,24662,0.16604725893367758,24623_24662,1057,305.0,3,34,,POINT (419091.5 4513100.5),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24624,24709,0.3287155744946303,24624_24709,1252,150.0,4,34,,POINT (423636 4508680.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24625,24683,0.18700945207033942,24625_24683,1441,250.0,2,31,,POINT (423591.5 4508671.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24626,24577,0.18213006242921714,24626_24577,1451,315.0,3,31,,POINT (424023.5 4507900),4.0,12.0,I80,315.0,20482.1483715,2008263.27242
24626,24583,0.17276508830873025,24626_24583,1451,315.0,1,31,,POINT (424031.5 4507908),4.0,12.0,I80,315.0,20482.1483715,2008263.27242
24627,24528,0.4231078403061679,24627_24528,1440,425.0,1,31,,POINT (423092.49999999994 4508599.5),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24631,24663,0.1593818041371633,24631_24663,1058,375.0,2,31,,POINT (419815 4512398),56.0,340.0,I215,375.0,25879.2644328,2505093.61422
24631,24667,0.22120258516135,24631_24667,1058,375.0,3,34,,POINT (419785.5 4512444),56.0,340.0,I215,375.0,25879.2644328,2505093.61422
24632,24681,0.21935249707655352,24632_24681,1452,310.0,4,33,0080_122.4,POINT (424424.5 4507850.5),2.0,10.0,I80,310.0,20747.947014,2034888.99837
24633,24639,0.04440967945917118,24633_24639,1252,425.0,1,41,,POINT (423417 4508719),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24634,24554,0.3045423788912632,24634_24554,1441,250.0,1,31,0015_304.7,POINT (423545.5 4508322.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24634,24621,0.04771640962070908,24634_24621,1441,250.0,2,31,,POINT (423556.5 4508529),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24635,24669,0.1573067396824228,24635_24669,1442,150.0,4,31,,POINT (423697.5 4508554.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24639,24652,0.03458540780711533,24639_24652,1252,,1,41,,POINT (423414.5 4508779.5),,,,,,
24641,24614,0.22858494865495554,24641_24614,1057,350.0,2,31,,POINT (419737 4512355.5),57.0,341.0,I215,350.0,24601.7045499,2376717.18395
24644,24629,0.06721173789498781,24644_24629,1252,425.0,1,42,,POINT (423391 4508742),28.0,46.0,SR201,425.0,34621.154009,3382087.1235
24652,24664,0.052860526022851274,24652_24664,1252,250.0,1,41,,POINT (423463.5 4508819),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24653,24534,0.48408924292466005,24653_24534,1441,250.0,4,34,0015_304.7,POINT (423596 4508241.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24653,24554,0.34651935802105555,24653_24554,1441,250.0,3,31,0015_304.7,POINT (423565 4508354.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24655,24660,0.1582244873839138,24655_24660,1057,,2,31,,POINT (419338 4512941),,,,,,
24656,24535,0.48656024667761866,24656_24535,1441,250.0,1,38,0015_304.7,POINT (423605.00000000006 4508242.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24660,24641,0.2550332030200358,24660_24641,1057,350.0,1,31,,POINT (419553 4512697.5),57.0,341.0,I215,350.0,24601.7045499,2376717.18395
24660,24684,0.12084861085150884,24660_24684,1057,,1,31,,POINT (419541 4512856.5),,,,,,
24661,24621,0.17216062132869833,24661_24621,1441,250.0,1,31,,POINT (423554 4508629.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24662,24715,0.15787270325639266,24662_24715,1057,305.0,1,31,,POINT (419352 4513109),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24662,24781,0.4520869929498859,24662_24781,1057,305.0,3,34,,POINT (419587.5 4513136.5),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24663,24704,0.12647492178814282,24663_24704,1058,375.0,2,31,,POINT (419819.5 4512627),56.0,340.0,I215,375.0,25879.2644328,2505093.61422
24664,24661,0.05163379375530896,24664_24661,1252,250.0,1,41,,POINT (423530.50000000006 4508800),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24665,24614,0.28044293955482574,24665_24614,1058,350.0,3,34,,POINT (419765 4512408.5),57.0,341.0,I215,350.0,24601.7045499,2376717.18395
24666,24673,0.053340425098502516,24666_24673,1057,305.0,1,30,,POINT (419397.99999999994 4512990.5),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24667,24752,0.2756073539439625,24667_24752,1058,375.0,3,34,,POINT (419759 4512839.5),56.0,340.0,I215,375.0,25879.2644328,2505093.61422
24668,24666,0.05258590500860151,24668_24666,1057,,1,30,,POINT (419438.5 4512923.5),,,,,,
24669,24693,0.06592703242507016,24669_24693,1253,150.0,2,42,,POINT (423703.50000000006 4508733),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24669,24749,0.2892915541294991,24669_24749,1253,150.0,2,31,,POINT (423681.5 4508913.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24671,24627,0.15983900284800645,24671_24627,1252,250.0,1,31,,POINT (423485.5 4508752.5),22.0,34.0,I15,250.0,37214.602103,3679606.41475
24673,24715,0.07302121140553315,24673_24715,1057,305.0,1,30,,POINT (419435.5 4513072.5),52.0,332.0,I80,305.0,26462.5513742,2606238.00821
24674,24641,0.14553393176380283,24674_24641,1057,350.0,1,31,,POINT (419666 4512640),57.0,341.0,I215,350.0,24601.7045499,2376717.18395
24676,24596,0.3285017306362279,24676_24596,1694,365.0,3,34,0215_003.7,POINT (431683 4500464.5),31.0,294.0,I215,365.0,36236.1233231,3474620.30826
24678,24038,0.09889708741915407,24678_24038,1329,355.0,1,31,,POINT (419503.00743500004 4508208.42182),30.0,97.0,I215,355.0,30437.1356652,3002933.17404
24681,24701,0.05667870951592186,24681_24701,1454,310.0,2,42,,POINT (424646.34990000003 4507844.158),2.0,10.0,I80,310.0,20747.947014,2034888.99837
24681,24795,0.4797061917461515,24681_24795,1457,310.0,4,33,,POINT (424987 4507847),2.0,10.0,I80,310.0,20747.947014,2034888.99837
24682,24821,0.5106134007908613,24682_24821,1694,360.0,3,34,0215_003.7,POINT (431822.5 4501114.5),32.0,299.0,I215,360.0,33912.1833648,3331432.2211
24683,24745,0.23592042564947543,24683_24745,1253,150.0,1,31,,POINT (423650.5 4508986.5),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24683,24749,0.21624574719713988,24683_24749,1253,150.0,1,31,,POINT (423671.5 4508972),17.0,29.0,I15,150.0,36544.1206963,3613050.61868
24684,24733,0.11471355273611145,24684_24733,1057,350.0,1,31,,POINT (419711.5 4512895.5),57.0,341.0,I215,350.0,24601.7045499,2376717.18395
24686,24516,0.6995964420197713,24686_24516,1015,320.0,2,31,0080_115.3,POINT (418697 4513165.5),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24686,24612,0.2685955080536243,24686_24612,1015,320.0,1,31,,POINT (419045.5 4513178.5),53.0,333.0,I80,320.0,24576.4017633,2416817.04448
24687,24616,0.2951527039844984,24687_24616,1452,315.0,3,33,0080_122.4,POINT (424369.5 4507873.5),4.0,12.0,I80,315.0,20482.1483715,2008263.27242
