Z,X,Y,ACRES,DEVACRES,SQMILE,CBD,PRKCSTPERM,PRKCSTTEMP,POP5,EMP5,DEVACRE5,URBANVAL,ATYPE,TERMTIME
180,406801.00000,4566208.00000,330.21,317.00,0.51595,0,0.00,0.00,812,18,3795,0.22,1,1
181,407968.06860,4565952.95700,256.11,256.11,0.40018,0,0.00,0.00,1078,18,3260,0.34,1,1
182,408829.00000,4565979.00000,240.05,240.05,0.37508,0,0.00,0.00,1412,14,3023,0.48,1,1
183,406637.00000,4565114.00000,677.90,630.44,1.05921,0,0.00,0.00,834,4,4351,0.19,1,1
184,410004.00000,4565917.00000,439.91,439.91,0.68736,0,0.00,0.00,1778,14,3100,0.58,1,1
185,411407.00000,4565959.00000,320.44,320.44,0.50069,0,0.00,0.00,2114,129,3036,0.78,1,1
186,412478.00000,4566060.00000,233.43,233.43,0.36473,0,0.00,0.00,2388,543,2821,1.24,2,1
187,401999.00000,4564679.00000,650.61,579.05,1.01659,0,0.00,0.00,436,31,8032,0.06,1,1
188,404185.00000,4564184.00000,1835.53,1633.62,2.86801,0,0.00,0.00,376,21,7986,0.05,1,1
189,408001.00000,4564573.00000,325.97,325.97,0.50934,0,0.00,0.00,1413,4,3055,0.47,1,1
190,408809.00000,4564559.00000,321.30,321.30,0.50203,0,0.00,0.00,1959,0,2876,0.68,1,1
191,409999.51680,4564947.07300,321.69,321.69,0.50264,0,0.00,0.00,2525,0,2938,0.86,1,1
192,406099.00000,4563150.00000,1235.31,1148.84,1.93017,0,0.00,0.00,2614,294,6102,0.53,1,1
193,409991.00000,4564153.00000,323.01,323.01,0.50470,0,0.00,0.00,2608,0,3013,0.87,1,1
194,402982.00000,4561990.00000,1997.85,1758.11,3.12164,0,0.00,0.00,1687,36,8192,0.21,1,1
195,407973.00000,4562935.00000,323.35,323.35,0.50524,0,0.00,0.00,3163,308,4414,0.86,1,1
196,408781.00000,4562913.00000,318.90,318.90,0.49829,0,0.00,0.00,2905,290,2909,1.21,2,1
197,409981.00000,4563269.00000,329.22,329.22,0.51440,0,0.00,0.00,2363,0,2870,0.82,1,1
